airline,flight_number,departure,destination,date,price,seats_available
Etihad,ET747,London,Istanbul,2025-10-09,658.64,194
Qatar Airways,QA406,Toronto,Singapore,2026-04-08,821.67,131
AirBlue,AI191,Istanbul,Cape Town,2026-01-30,747.76,168
Singapore Airlines,SI693,Abu Dhabi,Istanbul,2026-01-25,789.12,283
AirBlue,AI589,Mumbai,Frankfurt,2026-02-13,736.08,37
Qatar Airways,QA592,Abu Dhabi,Karachi,2026-01-11,760.07,173
Turkish Airlines,TU596,Tokyo,Toronto,2026-04-17,583.89,176
Singapore Airlines,SI705,Tokyo,Toronto,2026-07-09,535.68,203
SereneAir,SE730,Dubai,Cape Town,2026-09-29,899.73,133
Turkish Airlines,TU164,Toronto,Paris,2026-03-07,902.28,293
PIA,PI363,Karachi,Sydney,2025-12-15,805.59,45
British Airways,BR530,London,Singapore,2026-02-21,987.02,138
Singapore Airlines,SI437,New York,Singapore,2026-05-02,247.91,240
SereneAir,SE368,Islamabad,Frankfurt,2026-07-21,340.27,107
AirBlue,AI106,Lahore,Beijing,2025-10-24,830.0,136
Lufthansa,LU459,New York,Doha,2026-06-25,185.99,269
British Airways,BR731,London,Toronto,2025-12-09,139.22,95
Lufthansa,LU582,Lahore,Istanbul,2026-07-23,924.86,16
Qatar Airways,QA644,Cape Town,Singapore,2025-10-03,795.36,89
PIA,PI375,Cape Town,Sydney,2026-05-17,358.54,215
PIA,PI451,Bangkok,Lahore,2025-10-24,470.11,184
Emirates,EM833,Dubai,Singapore,2026-07-10,800.94,268
Lufthansa,LU815,Karachi,Cape Town,2026-09-30,218.75,90
Turkish Airlines,TU398,Doha,Paris,2026-05-18,953.22,171
Etihad,ET239,Abu Dhabi,Singapore,2025-11-10,627.33,110
PIA,PI298,Delhi,Sydney,2026-05-12,419.21,66
SereneAir,SE291,Doha,Beijing,2025-12-04,679.59,10
PIA,PI861,Dubai,Paris,2025-12-26,595.74,295
British Airways,BR860,Sydney,Cape Town,2026-03-24,200.27,143
PIA,PI443,Islamabad,Karachi,2026-05-28,753.8,147
British Airways,BR594,London,New York,2025-10-30,515.46,96
Singapore Airlines,SI736,Doha,Lahore,2025-11-16,822.94,174
Singapore Airlines,SI549,Dubai,Toronto,2026-02-23,279.07,195
Lufthansa,LU303,Sydney,Singapore,2026-08-25,500.84,56
Lufthansa,LU991,Mumbai,Abu Dhabi,2025-11-13,562.75,186
Lufthansa,LU835,Bangkok,Abu Dhabi,2026-06-25,877.94,15
PIA,PI789,Beijing,Sydney,2026-04-30,480.64,103
Emirates,EM586,Istanbul,Doha,2025-11-06,239.67,298
Etihad,ET197,Beijing,Singapore,2026-02-10,730.49,172
Qatar Airways,QA480,Dubai,Istanbul,2026-05-28,696.72,14
Singapore Airlines,SI339,Istanbul,Frankfurt,2026-05-06,422.89,231
Singapore Airlines,SI144,Dubai,Abu Dhabi,2026-07-30,571.34,125
Etihad,ET522,Beijing,Tokyo,2026-04-14,249.63,237
Etihad,ET390,Tokyo,Abu Dhabi,2026-03-10,278.81,296
SereneAir,SE667,Delhi,Islamabad,2026-06-07,681.58,143
British Airways,BR845,Delhi,Sydney,2026-04-28,659.67,106
Singapore Airlines,SI455,Lahore,Tokyo,2026-07-03,441.44,55
AirBlue,AI975,Bangkok,London,2026-08-21,690.96,38
AirBlue,AI592,Islamabad,Istanbul,2026-05-31,733.89,282
Etihad,ET494,Mumbai,Frankfurt,2025-11-13,593.29,126
Singapore Airlines,SI615,Dubai,Islamabad,2025-11-20,104.02,216
Lufthansa,LU559,Toronto,Dubai,2026-07-08,702.86,119
British Airways,BR664,Tokyo,Dubai,2025-11-04,831.96,46
Etihad,ET200,London,Istanbul,2026-09-27,877.31,263
AirBlue,AI570,Tokyo,Doha,2025-11-21,935.37,189
Turkish Airlines,TU269,London,Toronto,2026-08-22,467.75,97
British Airways,BR709,Bangkok,Islamabad,2026-03-24,349.84,183
Qatar Airways,QA580,Islamabad,New York,2026-02-01,297.8,79
British Airways,BR440,Sydney,Mumbai,2026-04-07,666.02,157
Singapore Airlines,SI497,Singapore,Islamabad,2026-06-09,708.53,41
Turkish Airlines,TU522,Istanbul,Beijing,2025-12-06,327.11,275
British Airways,BR323,Delhi,Tokyo,2026-02-18,474.53,241
PIA,PI511,Singapore,Cape Town,2025-10-17,899.82,45
British Airways,BR337,Mumbai,Bangkok,2026-05-07,675.89,182
Turkish Airlines,TU915,London,Singapore,2026-06-27,742.39,282
British Airways,BR511,Abu Dhabi,Paris,2025-12-02,725.72,104
Etihad,ET742,Abu Dhabi,Cape Town,2026-01-29,824.35,241
AirBlue,AI131,Sydney,Frankfurt,2026-06-10,743.56,175
British Airways,BR704,Karachi,Islamabad,2026-05-01,641.63,136
PIA,PI357,Karachi,Dubai,2026-03-06,137.61,192
British Airways,BR340,Sydney,Mumbai,2026-01-10,383.58,153
Etihad,ET786,London,Abu Dhabi,2026-01-27,969.02,10
SereneAir,SE615,Dubai,London,2026-06-21,470.85,270
SereneAir,SE324,Dubai,Doha,2026-04-29,408.01,216
AirBlue,AI679,Singapore,Cape Town,2025-12-19,864.37,297
PIA,PI139,New York,London,2026-03-13,399.59,135
Etihad,ET135,Mumbai,Bangkok,2026-04-28,697.01,235
PIA,PI711,Dubai,Doha,2025-10-14,326.04,158
Emirates,EM767,Doha,Bangkok,2026-05-15,294.31,40
PIA,PI909,Lahore,Beijing,2026-07-20,434.22,217
Emirates,EM213,Sydney,Bangkok,2026-06-15,452.98,200
Emirates,EM205,Mumbai,Islamabad,2026-09-10,218.97,223
Lufthansa,LU240,Dubai,London,2025-12-06,314.26,60
SereneAir,SE890,Dubai,Toronto,2026-01-23,812.42,299
Etihad,ET192,Abu Dhabi,Toronto,2026-09-24,157.55,145
AirBlue,AI417,Islamabad,Paris,2026-06-21,942.58,192
Singapore Airlines,SI731,Toronto,New York,2026-02-16,888.37,136
Lufthansa,LU810,Dubai,Istanbul,2025-11-14,838.83,279
PIA,PI497,Delhi,New York,2026-01-25,312.83,100
PIA,PI448,Sydney,Frankfurt,2026-08-20,981.07,170
Singapore Airlines,SI557,Dubai,Toronto,2025-11-27,962.56,142
Singapore Airlines,SI321,Frankfurt,Bangkok,2026-03-20,411.34,231
Qatar Airways,QA541,Paris,Bangkok,2026-04-27,657.97,158
Emirates,EM850,Bangkok,London,2026-07-24,852.41,114
SereneAir,SE624,Frankfurt,London,2026-09-08,171.15,166
Lufthansa,LU392,Abu Dhabi,Sydney,2026-06-06,961.09,298
British Airways,BR563,Islamabad,Karachi,2026-04-08,146.54,244
AirBlue,AI247,Mumbai,Singapore,2026-08-27,458.19,145
PIA,PI578,New York,Dubai,2026-05-27,122.81,201
Etihad,ET562,Mumbai,Istanbul,2026-06-14,443.58,220
Singapore Airlines,SI273,Karachi,New York,2026-01-29,310.15,275
SereneAir,SE196,Istanbul,Beijing,2026-08-26,292.32,157
Qatar Airways,QA947,Frankfurt,Islamabad,2025-12-09,104.84,181
Turkish Airlines,TU982,Toronto,Bangkok,2025-11-02,707.44,248
PIA,PI903,Istanbul,Doha,2025-12-02,699.1,269
SereneAir,SE764,Frankfurt,Paris,2026-01-16,728.36,215
Emirates,EM609,Bangkok,Beijing,2025-11-18,878.71,205
Turkish Airlines,TU209,Dubai,Islamabad,2026-08-19,307.85,299
Emirates,EM600,Karachi,Sydney,2026-05-30,770.55,132
Qatar Airways,QA359,Tokyo,Mumbai,2025-12-17,314.82,286
AirBlue,AI542,Cape Town,Delhi,2026-06-29,292.09,129
SereneAir,SE908,Islamabad,Istanbul,2026-03-26,635.26,127
Emirates,EM881,New York,Istanbul,2025-12-24,383.52,13
Lufthansa,LU223,Abu Dhabi,Bangkok,2026-08-21,707.09,113
AirBlue,AI432,Paris,Bangkok,2026-02-25,665.21,173
Etihad,ET263,Beijing,Paris,2025-10-04,243.4,127
Qatar Airways,QA202,Dubai,Karachi,2025-11-18,180.02,223
SereneAir,SE985,Beijing,Mumbai,2025-12-04,849.99,41
Etihad,ET558,Paris,Sydney,2025-10-23,204.47,137
AirBlue,AI248,Karachi,Tokyo,2026-09-26,944.18,140
Qatar Airways,QA758,Bangkok,Islamabad,2025-12-31,842.24,97
SereneAir,SE218,New York,London,2026-09-29,768.9,52
PIA,PI252,Cape Town,Abu Dhabi,2026-09-10,386.45,21
Singapore Airlines,SI448,Frankfurt,Lahore,2026-05-13,233.65,118
Singapore Airlines,SI506,Lahore,Beijing,2026-08-12,912.25,29
British Airways,BR360,Frankfurt,Abu Dhabi,2026-02-15,994.88,158
British Airways,BR958,Singapore,New York,2026-01-08,952.28,192
Turkish Airlines,TU836,Cape Town,Abu Dhabi,2025-11-25,180.31,107
Etihad,ET946,Tokyo,Toronto,2025-12-01,387.66,193
AirBlue,AI591,Doha,Mumbai,2026-02-25,926.31,174
Lufthansa,LU772,Toronto,Istanbul,2025-12-28,330.82,178
British Airways,BR165,Lahore,Cape Town,2026-08-31,736.69,52
Qatar Airways,QA986,Dubai,Istanbul,2025-12-14,718.04,81
Lufthansa,LU648,Toronto,Tokyo,2026-04-03,603.69,143
PIA,PI297,London,Paris,2025-12-20,753.28,78
AirBlue,AI752,Bangkok,Frankfurt,2026-07-23,471.36,256
Emirates,EM693,Islamabad,Paris,2026-01-29,382.15,75
SereneAir,SE311,Mumbai,Singapore,2026-04-15,491.73,18
Lufthansa,LU617,Karachi,Bangkok,2026-05-14,464.19,115
Qatar Airways,QA671,Dubai,London,2026-07-13,549.5,49
Singapore Airlines,SI249,Mumbai,Lahore,2025-11-20,135.37,287
Turkish Airlines,TU523,London,Mumbai,2025-11-09,508.13,121
PIA,PI555,Islamabad,Tokyo,2026-07-20,251.95,119
Emirates,EM366,Cape Town,Sydney,2026-06-18,847.75,154
PIA,PI180,Mumbai,Frankfurt,2026-07-05,360.18,286
SereneAir,SE503,New York,Karachi,2026-01-10,569.12,208
AirBlue,AI968,Bangkok,Lahore,2026-03-29,823.92,121
Turkish Airlines,TU187,Islamabad,Cape Town,2025-12-07,972.81,65
Etihad,ET322,New York,Singapore,2026-08-13,779.12,293
Emirates,EM783,Cape Town,London,2026-01-20,242.81,91
Etihad,ET747,Cape Town,Paris,2026-03-25,952.97,147
AirBlue,AI862,Mumbai,Singapore,2026-01-24,950.95,119
Lufthansa,LU894,Islamabad,London,2026-07-18,446.52,130
Turkish Airlines,TU932,Dubai,Paris,2026-03-05,750.93,288
Qatar Airways,QA170,Frankfurt,Tokyo,2026-03-26,620.42,143
Turkish Airlines,TU562,London,Cape Town,2025-10-03,258.93,62
Emirates,EM248,Delhi,New York,2025-11-29,350.6,70
British Airways,BR665,Beijing,Toronto,2026-06-05,965.36,51
Qatar Airways,QA483,Mumbai,Delhi,2026-04-16,976.32,68
AirBlue,AI500,Delhi,Doha,2025-10-13,858.87,157
PIA,PI438,Abu Dhabi,Beijing,2025-12-29,597.52,122
Qatar Airways,QA489,Sydney,New York,2026-02-25,790.18,81
British Airways,BR823,Paris,Doha,2025-10-25,266.94,114
Qatar Airways,QA473,Sydney,Lahore,2026-07-10,122.64,77
Singapore Airlines,SI316,Bangkok,Istanbul,2025-12-10,243.69,130
Lufthansa,LU434,Dubai,Frankfurt,2026-02-12,650.1,277
Turkish Airlines,TU133,Karachi,Abu Dhabi,2026-07-25,161.9,65
British Airways,BR311,Istanbul,Bangkok,2026-09-14,189.97,268
British Airways,BR541,Lahore,Dubai,2026-07-28,927.72,132
Singapore Airlines,SI250,Paris,Karachi,2026-08-18,142.37,188
Lufthansa,LU389,Cape Town,Bangkok,2025-11-10,857.01,298
Etihad,ET385,Singapore,Paris,2026-08-13,867.32,300
PIA,PI229,Karachi,Sydney,2026-02-14,309.58,243
Singapore Airlines,SI450,Frankfurt,Tokyo,2025-12-25,835.14,55
Etihad,ET586,Karachi,New York,2025-11-20,706.47,122
Lufthansa,LU562,Sydney,Cape Town,2026-07-04,676.75,214
Singapore Airlines,SI689,Istanbul,Singapore,2026-05-28,689.82,183
Turkish Airlines,TU141,Toronto,Doha,2025-11-28,763.17,138
Etihad,ET550,Sydney,Bangkok,2026-06-01,114.33,107
Turkish Airlines,TU865,Beijing,London,2026-05-31,977.79,226
Turkish Airlines,TU309,Paris,Beijing,2026-01-20,909.33,79
SereneAir,SE272,Istanbul,Dubai,2025-11-30,254.0,148
Singapore Airlines,SI210,Singapore,Abu Dhabi,2026-07-15,225.18,251
Singapore Airlines,SI808,Beijing,Bangkok,2026-08-29,779.41,177
Emirates,EM540,Mumbai,Karachi,2026-02-20,114.15,146
Qatar Airways,QA989,Dubai,New York,2026-02-20,152.31,290
PIA,PI559,Tokyo,Bangkok,2025-10-09,317.34,265
Emirates,EM225,Karachi,Abu Dhabi,2025-12-22,313.36,262
